ACC_X;ACC_Y;ACC_Z;Timestamps;YYYY-MO-DD;HH-MI-SS_SSS
0.3783;-0.0862;10.2244;6403;03/27/21;13:46:30:472
0.4872;0.6153;8.5054;6423;03/27/21;13:46:30:492
0.1939;1.148;7.5489;6443;03/27/21;13:46:30:512
-0.1867;1.245;7.7907;6463;03/27/21;13:46:30:532
-0.4729;0.9349;8.7652;6483;03/27/21;13:46:30:552
-0.5423;0.2095;9.912;6504;03/27/21;13:46:30:573
-0.3292;-0.3304;10.3633;6523;03/27/21;13:46:30:592
-0.2646;-0.3208;10.094;6544;03/27/21;13:46:30:613
-0.1856;0.0251;9.2596;6563;03/27/21;13:46:30:632
-0.0946;0.3938;8.5162;6583;03/27/21;13:46:30:652
-0.0634;0.6021;8.0505;6603;03/27/21;13:46:30:672
0.0359;0.6692;7.9871;6623;03/27/21;13:46:30:692
0.0922;0.8164;8.0469;6643;03/27/21;13:46:30:712
0.0754;0.9792;8.2696;6663;03/27/21;13:46:30:732
-0.0706;1.0127;8.606;6683;03/27/21;13:46:30:752
-0.1365;0.99;8.9388;6703;03/27/21;13:46:30:772
-0.1508;0.9996;9.0214;6724;03/27/21;13:46:30:793
-0.1389;1.0702;9.1674;6743;03/27/21;13:46:30:812
-0.0778;1.0463;9.4068;6763;03/27/21;13:46:30:832
0.0144;1.1001;9.4248;6783;03/27/21;13:46:30:852
0.067;1.2198;9.3757;6803;03/27/21;13:46:30:872
0.1532;1.3144;9.3362;6823;03/27/21;13:46:30:892
0.1628;1.4042;9.3565;6843;03/27/21;13:46:30:912
0.1808;1.664;9.3613;6863;03/27/21;13:46:30:932
0.1257;1.7502;9.5744;6883;03/27/21;13:46:30:952
0.103;1.6879;9.8737;6902;03/27/21;13:46:30:971
0.0694;1.6233;10.0461;6923;03/27/21;13:46:30:992
0.0335;1.3874;10.6279;6943;03/27/21;13:46:31:012
0.0263;1.6592;10.7308;6963;03/27/21;13:46:31:032
0.4633;2.3403;10.0664;6983;03/27/21;13:46:31:052
0.5962;1.8783;10.7296;7003;03/27/21;13:46:31:072
0.6776;1.2366;11.4072;7024;03/27/21;13:46:31:093
0.7913;-0.3759;13.1561;7044;03/27/21;13:46:31:113
0.6273;-1.1001;12.87;7063;03/27/21;13:46:31:132
0.5794;-0.2921;10.7955;7083;03/27/21;13:46:31:152
0.7123;0.4537;9.0884;7103;03/27/21;13:46:31:172
0.8116;0.7314;8.3139;7123;03/27/21;13:46:31:192
0.9637;1.0942;7.689;7143;03/27/21;13:46:31:212
1.3587;1.1109;8.3821;7163;03/27/21;13:46:31:232
1.3695;0.6057;9.2608;7183;03/27/21;13:46:31:252
1.4341;-0.0527;10.222;7202;03/27/21;13:46:31:271
1.2809;-0.4262;10.5273;7223;03/27/21;13:46:31:292
